distribution,n,mean,std,q01,q50,q99,fraction_above_threshold
current / calibration,12000,-8.582670211791992,3.0814595222473145,-15.049593925476074,-8.892288208007812,-0.6567690968513489,0.00858333334326744
current / ID test,10000,24.88703727722168,21.61919593811035,-4.1728129386901855,20.907997131347656,97.07516479492188,0.916700005531311
current / prior,10000,37.04642105102539,25.706300735473633,-0.24576781690120697,32.21406555175781,120.22918701171875,0.9905999898910522
split / held-out calibration,6000,30.45313262939453,25.25321388244629,-4.4396891593933105,26.213485717773438,112.03176879882812,0.009999999776482582
split / ID test,10000,30.266462326049805,24.925487518310547,-4.138205528259277,25.9403076171875,111.201416015625,0.009600000455975533
split / prior,10000,40.86114501953125,28.148303985595703,-0.06338928639888763,35.83647155761719,133.42010498046875,0.022299999371170998
split / OOD fashion_mnist,10000,84.6916732788086,52.22715377807617,8.002110481262207,78.1622085571289,235.5889434814453,0.27219998836517334
split / OOD kmnist,10000,54.023014068603516,40.977684020996094,2.1877646446228027,47.586143493652344,181.0018310546875,0.08649999648332596
split / OOD organamnist,17778,125.98094177246094,43.96641159057617,29.66661262512207,131.21070861816406,237.11363220214844,0.6990100145339966
