calibration_tail_alpha,quantile,threshold,prior_mass_above_threshold,id_test_rate_above_threshold
0.1,0.9,2.388620376586914,0.19859999418258667,0.09560000151395798
0.05,0.95,3.401782989501953,0.11620000004768372,0.05079999938607216
0.01,0.99,5.958076477050781,0.03020000085234642,0.011699999682605267
0.005,0.995,7.149442195892334,0.016699999570846558,0.00570000009611249
0.001,0.999,9.044946670532227,0.007499999832361937,0.0015999999595806003
